Timestamp,Raw_ADC,NodeMCU_Volts,Sensor_Volts
2026-02-28 21:07:30,10,0.032,0.048
2026-02-28 21:08:00,10,0.032,0.048
2026-02-28 21:08:30,10,0.032,0.048
2026-02-28 21:09:00,16,0.052,0.077
2026-02-28 21:09:30,78,0.252,0.377
2026-02-28 21:11:00,32,0.103,0.155
2026-02-28 21:11:30,24,0.077,0.116
2026-02-28 21:12:00,18,0.058,0.087
2026-02-28 21:12:30,15,0.048,0.073
2026-02-28 21:13:00,14,0.045,0.068
2026-02-28 21:13:30,13,0.042,0.063
2026-03-02 10:13:13,8,0.026,0.039
2026-03-02 10:13:43,7,0.023,0.034
2026-03-02 10:14:13,7,0.023,0.034
2026-03-02 10:14:43,6,0.019,0.029
2026-03-02 10:15:13,6,0.019,0.029
2026-03-02 10:15:43,6,0.019,0.029
2026-03-02 10:16:13,338,1.09,1.635
2026-03-02 10:16:43,9,0.029,0.044
2026-03-02 10:17:13,9,0.029,0.044
2026-03-02 10:17:43,8,0.026,0.039
2026-03-02 10:18:13,7,0.023,0.034
2026-03-02 10:18:43,7,0.023,0.034
2026-03-02 10:19:13,7,0.023,0.034
2026-03-02 10:19:43,44,0.142,0.213
2026-03-02 10:20:13,9,0.029,0.044
2026-03-02 10:20:43,608,1.961,2.942
2026-03-02 10:21:13,14,0.045,0.068
2026-03-02 10:21:46,9,0.029,0.044
2026-03-02 10:22:13,8,0.026,0.039
2026-03-02 10:22:43,785,2.532,3.798
2026-03-02 10:23:13,22,0.071,0.106
2026-03-02 10:23:43,8,0.026,0.039
2026-03-02 10:24:13,8,0.026,0.039
2026-03-02 10:24:43,7,0.023,0.034
2026-03-02 10:25:13,8,0.026,0.039
2026-03-02 10:25:43,8,0.026,0.039
2026-03-02 10:26:14,8,0.026,0.039
2026-03-02 10:26:43,8,0.026,0.039
2026-03-02 10:27:13,8,0.026,0.039
2026-03-02 10:27:43,8,0.026,0.039
2026-03-02 10:28:13,8,0.026,0.039
2026-03-02 10:28:43,8,0.026,0.039
2026-03-02 10:29:13,8,0.026,0.039
2026-03-02 10:29:43,7,0.023,0.034
2026-03-02 10:30:13,7,0.023,0.034
2026-03-02 10:30:43,7,0.023,0.034
2026-03-02 10:31:13,7,0.023,0.034
2026-03-02 10:31:43,7,0.023,0.034
