Day_Of_Week,Click_Hour,Click_Minute,Current_Cumulative_Sum,Target_Final_Daily_Sum
4,6,25,32590,120773
1,19,1,105378,128892
6,14,49,49954,79887
0,10,11,54398,137123
5,7,50,29029,82940
5,20,25,76737,84811
6,6,22,21062,84729
3,18,17,85603,110530
0,22,31,113340,124513
1,10,48,49022,108188
6,10,37,39043,83845
1,23,56,128380,128380
4,20,46,106829,118993
3,3,2,14176,110536
2,7,37,41101,131748
1,23,2,98018,101210
6,2,29,9235,83573
3,21,0,104401,119583
0,20,29,98008,120159
6,1,44,5567,83884
4,23,31,126104,126104
5,11,27,41907,86767
0,5,20,25013,116319
1,1,57,9902,115924
1,20,45,96386,113884
0,0,12,1058,127875
1,11,26,54041,113534
6,21,35,73916,83660
3,11,6,56243,120189
1,16,21,82701,114787
4,9,9,45359,126184
3,15,38,75221,112725
6,14,52,54013,86452
2,14,14,72985,122127
1,18,14,90412,114036
1,11,3,57826,125286
4,22,31,120537,125465
6,19,22,67002,80163
4,2,54,15272,129661
5,4,5,14159,81997
6,18,23,61683,81552
0,6,19,37775,144485
0,20,57,91008,105963
0,8,36,47494,129492
4,6,19,32852,124312
0,17,11,79039,108258
6,3,32,12135,82504
0,13,27,61450,119212
2,17,7,95043,133055
0,8,0,37741,112866
1,20,36,101973,117380
5,1,21,4111,75338
4,19,5,102682,137347
3,14,20,67312,109295
5,6,31,22451,83831
2,11,34,57835,118985
4,7,14,35366,119019
6,14,4,42414,72388
4,2,59,16612,136712
1,13,55,67602,122514
6,16,45,57199,80060
5,3,49,12266,79535
5,17,47,55014,73642
0,7,5,34749,115370
6,3,24,11666,84838
1,1,55,9839,131104
0,5,45,35145,130825
0,21,58,101052,113398
4,9,55,50411,118316
5,3,39,11906,71369
0,21,28,98826,106291
2,17,6,95408,135949
2,11,39,57995,119877
5,1,12,3998,83434
2,9,37,47789,114229
4,3,17,15014,106731
1,13,1,60217,113959
3,15,7,72953,122192
0,14,10,69866,126734
3,7,32,40057,121617
1,13,53,71852,123467
1,22,37,111088,116629
4,7,47,38858,124962
2,20,26,106391,134828
2,15,19,84983,127047
1,12,11,65162,128095
4,17,42,94781,122940
4,14,30,62194,104968
5,20,26,70383,83659
6,23,31,86272,86272
0,12,9,62917,119890
6,8,2,31430,90299
2,14,44,82718,136764
1,12,26,67953,127260
5,0,34,2036,81714
3,6,30,32584,120946
2,8,14,37411,111927
0,23,15,119421,119421
4,0,12,902,111952
1,11,48,68759,135582
2,7,34,40207,127903
3,23,51,112965,125205
0,10,10,59232,132359
0,18,58,67993,99799
5,16,20,47581,77615
2,7,50,35808,106893
3,2,53,14787,119927
0,2,10,10215,116882
1,0,29,2568,126617
0,4,59,22176,122281
3,9,47,56322,133451
4,6,52,33018,113981
4,8,34,45260,127091
5,6,21,19325,72964
2,8,37,38129,103647
3,7,30,34579,110813
5,11,13,34102,80513
6,1,23,5022,78511
0,0,49,4495,124637
6,15,48,48089,78061
0,22,31,109346,118596
4,22,35,130346,140178
5,23,31,68162,68162
4,4,54,21258,116726
1,2,14,11334,124917
6,11,42,35929,80816
6,7,57,28267,86570
4,21,34,109695,125025
1,2,2,9927,116711
0,0,15,1284,127193
5,2,4,7356,88765
1,4,20,23235,124819
5,14,9,45704,75797
6,13,18,47512,83436
5,2,24,7713,77821
6,0,3,153,75792
1,4,28,22727,122850
6,22,18,75983,79776
2,13,42,65616,128987
6,6,1,17978,70329
4,8,9,40912,118643
1,14,42,78557,127859
0,14,24,78447,131729
5,9,19,29287,86549
3,12,47,72719,139596
1,18,18,102288,123132
4,6,22,29085,109570
6,16,23,54105,80496
5,19,10,62382,78047
2,3,45,19772,124340
0,4,33,23415,119571
2,22,54,113890,120742
3,6,27,30433,110884
1,12,4,70786,129900
5,14,58,41850,63894
1,10,4,51028,108912
4,3,50,19104,123673
1,12,20,75762,136028
0,6,11,28821,116474
3,18,49,101339,127009
2,21,3,118863,130733
3,1,53,9799,128146
5,9,48,35612,86831
1,12,41,60275,109089
5,20,19,68119,83432
2,5,37,29760,117371
5,11,24,33431,75616
4,11,13,55759,108758
3,19,10,106503,127002
2,10,31,48202,110498
2,22,10,109561,121060
6,6,17,19424,76124
2,0,26,2033,113405
6,0,54,2917,77984
0,19,53,102001,115849
6,12,17,44813,79713
3,8,55,45910,122353
5,2,22,6922,73302
